group_a,group_b,n_a,n_b,mean_a,mean_b,median_a,median_b,mannwhitney_u,pvalue
Myeloid,Non-immune,43,1050,-2.375369998979494,-2.1567550121916015,-2.396677534225488,-2.2675630829312445,18943.0,0.07346312030517987
Lymphoid,Non-immune,93,1050,-2.297363359783653,-2.1567550121916015,-2.3910230528078813,-2.2675630829312445,43208.0,0.0656504723343753
Myeloid,Lymphoid,43,93,-2.375369998979494,-2.297363359783653,-2.396677534225488,-2.3910230528078813,1908.0,0.6701890118327991
