group,n,mean,median,q1,q3,fraction_le_neg_0_5,fraction_le_neg_1_0,fraction_le_neg_1_5,fraction_le_neg_2_0
Myeloid,43,-2.375369998979494,-2.396677534225488,-2.7812270789886657,-2.0003068669022057,1.0,1.0,0.9534883720930233,0.7441860465116279
Lymphoid,93,-2.297363359783653,-2.3910230528078813,-2.650523437395574,-2.0979123343936776,1.0,0.978494623655914,0.9032258064516129,0.7741935483870968
Non-immune,1050,-2.1567550121916015,-2.2675630829312445,-2.6043266400027525,-1.8331534803478777,0.9714285714285714,0.9438095238095238,0.8552380952380952,0.6580952380952381
