DependencyGroup,n,mean,median,min,max,dependent_fraction
Lymphoid,93,-2.297363359783653,-2.3910230528078813,-3.235205206383344,-0.7680096343951548,1.0
Myeloid,43,-2.3753699989794934,-2.396677534225488,-3.233030634826214,-1.400400635324965,1.0
Non-immune,1050,-2.1567550121916015,-2.2675630829312445,-3.741829921349865,0.4000701262553852,0.9714285714285714
