ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-001356,-2.047944336052129,MB-1,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-001368,-2.9341552150120407,OAC-M5.1,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-001394,-2.5326452164505087,SUM-229PE,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-001400,-2.170270768534737,SW 954,Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Squamous Cell Carcinoma of the Vulva/Vagina,Non-immune
ACH-001416,-1.9374277997131817,UM-UC9,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001515,-1.9715975047499417,HCS-2,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001528,-2.7813317413966723,IHH-4,Thyroid,Well-Differentiated Thyroid Cancer,Papillary Thyroid Cancer,Non-immune
ACH-001577,-2.8148950385260365,MUTZ-8,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-001622,-1.0773663172785557,Onda 7,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001653,-2.739080874440808,SK-GT-2,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-001654,-2.399949368844885,SK-GT-4,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-001676,-0.9042572971555308,Ty-82,Head and Neck,"Head and Neck Carcinoma, Other",NUT Midline Carcinoma of the Head and Neck,Non-immune
ACH-001709,-1.5106691340541134,WSU-NHL,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-001736,-2.4648666110056823,HB1119,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-001745,-2.955199722398828,RhJT,Soft Tissue,Rhabdomyosarcoma,Alveolar Rhabdomyosarcoma,Non-immune
ACH-001858,-2.7940246836659504,SSP-25,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001863,-1.9785377985715684,TKKK,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001864,-3.1364436120563566,YSCCC,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001959,-3.204434989974182,CC-LP-1,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001992,-2.78408062481878,ONE58,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-002021,-0.2598502813636361,T3M-3,Uterus,Gestational Trophoblastic Disease,Choriocarcinoma,Non-immune
ACH-002025,-2.797325607441336,TT1TKB,Bowel,Colorectal Adenocarcinoma,Rectal Adenocarcinoma,Non-immune
ACH-002033,-1.476264370335563,HMMME,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-002048,-1.5916717794394484,RMS-YM,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,Non-immune
ACH-002080,-1.8394372215705808,TN-2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-002105,-2.09063903042356,ES4,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002119,-2.7403953060056336,EW-7,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002156,-2.809460406742591,LC-1-sq,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-002230,-1.0305360503468208,D-542MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-002234,-2.613987157072187,DOK,Head and Neck,"Head and Neck Carcinoma, Other","Head and Neck Carcinoma, Other",Non-immune
ACH-002250,-0.1849230177644338,JHU-022,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-002251,-3.0262001957419686,JHU-029,Head and Neck,Head and Neck Squamous Cell Carcinoma,Larynx Squamous Cell Carcinoma,Non-immune
ACH-002461,-3.298818445913639,RVH421 SKIN FV1,Skin,Melanoma,Melanoma,Non-immune
ACH-002709,-2.2843803383158,CMS,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-002925,-2.497838927236128,UPMM3,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-000030,-2.919669879599316,PC-14,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000054,-2.915837510101179,HT-1080,Soft Tissue,Fibrosarcoma,Fibrosarcoma,Non-immune
ACH-000082,-2.1002130476235323,"G-292, clone A141B1",Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000118,-2.671916086950332,HUP-T3,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000152,-1.302658619102795,M059K,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000188,-1.558833025316518,SCC-25,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000192,-1.1470410972763738,MFE-280,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000200,-2.427892048985112,NMC-G1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000203,-2.298351754207737,NH-6,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000209,-2.5851870544979128,SNU-1079,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-000271,-1.8021679447463843,SU-DHL-10,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000274,-1.767735051477421,Hs 852.T,Skin,Melanoma,Melanoma,Non-immune
ACH-000305,-1.9602629902522613,EC-GI-10,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000313,-2.499116722247204,KMRC-3,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000374,-3.535199852757791,HCC1143,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-000396,-2.1324705369681825,J82,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000410,-1.9349668462524587,Saos-2,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-000425,-2.940814532836835,UACC-62,Skin,Melanoma,Melanoma,Non-immune
ACH-000442,-2.6820437603606915,RERF-LC-Sq1,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000448,-2.085312247099168,NCI-H1666,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000452,-2.031705763941915,TE-8,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000459,-2.475698882470901,TUHR10TKB,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000463,-1.781011377819602,NCI-H460,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000472,-2.9983075318163674,HSC-2,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000510,-2.5985463774719726,NCI-H1299,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000519,-2.2452405769329644,PEER,Lymphoid,T-Lymphoblastic Leukemia/Lymphoma,T-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000525,-2.053561841048887,NCI-H2171,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000557,-2.885013551816702,AML-193,Myeloid,Acute Myeloid Leukemia,AML with Myelodysplasia-Related Changes,Myeloid
ACH-000577,-2.5672926348602334,JHH-2,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000587,-1.9964157486183052,NCI-H1975,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000589,-2.2889192378257333,NCI-H1437,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000627,-1.845334865905866,LCLC-103H,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,Non-immune
ACH-000631,-2.370085332963753,KS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000637,-1.2827230134760366,KYSE-520,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000647,-2.0064117335275538,TE-1,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000660,-1.917276777696712,SU-DHL-5,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000667,-1.914997774620108,HCC-44,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000676,-2.967310404740342,LN-464,Skin,Melanoma,Melanoma,Non-immune
ACH-000700,-2.281414760658666,NCI-H2882,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000704,-2.097575059890222,OAW42,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000706,-2.808305543313527,EKVX,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000718,-1.2427173019980988,NCI-H2291,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000722,-2.1183421068700783,SNU-C1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000740,-2.345645234384201,A-253,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000760,-2.7863820189707256,LNZ308,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000776,-2.563033231062404,ONS-76,CNS/Brain,Embryonal Tumor,Medulloblastoma,Non-immune
ACH-000787,-2.0493428004619463,LXF-289,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000829,-2.9675115760046213,HuNS1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000834,-2.321029074387929,UM-UC-1,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000837,-2.149194086557236,NCI-H322,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000859,-2.5941641325546163,HCC1954,Breast,Breast Ductal Carcinoma In Situ,Breast Ductal Carcinoma In Situ,Non-immune
ACH-000884,-2.880918824063978,MDA-MB-435S,Skin,Melanoma,Melanoma,Non-immune
ACH-000896,-3.198102430610321,647-V,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000911,-2.2857879676343384,NUGC-3,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000916,-2.526706593508574,NCI-H1573,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000947,-2.1746523864201643,OVK18,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Endometrioid Ovarian Cancer,Non-immune
ACH-000993,-1.3038329773313908,JHUEM-7,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-001029,-1.9439762141681112,CHLA-10,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001190,-2.874908686050256,SK-MEL-2,Skin,Melanoma,Melanoma,Non-immune
ACH-001194,-2.4815103102195555,SK-RC-31,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-001278,-2.778346977269276,BIN-67,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Small Cell Carcinoma of the Ovary,Non-immune
ACH-001300,-2.607656744689937,CHLA-15,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001318,-2.6600556408181792,PLC/PRF/5,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-001375,-1.377717182314249,PACADD-119,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001532,-3.0550056871345577,JMU-RTK-2,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-001568,-2.7531983993966582,MM386,Skin,Melanoma,Melanoma,Non-immune
ACH-001578,-1.7401413229404814,NCCIT,Testis,Non-Seminomatous Germ Cell Tumor,Embryonal Carcinoma,Non-immune
ACH-001610,-2.326960451905965,NP 5,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001611,-1.724832916689354,NP 8,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001624,-2.8195404860892,Onda 9,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-001632,-0.3817881714278452,PEO4,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001656,-1.681723117729338,SKNO-1,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-001707,-2.6703303320684557,WA-OSEL,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lymphoid
ACH-001735,-2.047049349093451,SEMK2,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-001804,-2.629073204140774,LPS510,Soft Tissue,Liposarcoma,Dedifferentiated Liposarcoma,Non-immune
ACH-001835,-2.587977875329165,MGH-ICC10-6,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001841,-1.9396660005353812,MGH-ECC3,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Extrahepatic Cholangiocarcinoma,Non-immune
ACH-001844,-2.6674341390417635,MGH-ICC4,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001986,-2.7346696685124146,NZM42,Skin,Melanoma,Melanoma,Non-immune
ACH-001999,-2.321372763018249,950-5-BIK,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-002001,-1.7105286878013346,A375 SKIN CJ1,Skin,Melanoma,Melanoma,Non-immune
ACH-002004,-2.1978400661656563,UACC62 SKIN CJ1,Skin,Melanoma,Melanoma,Non-immune
ACH-002014,-2.704647488685313,Mel270,Eye,Ocular Melanoma,Uveal Melanoma,Non-immune
ACH-002042,-2.669511222426341,T3M-5,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Non-immune
ACH-002061,-2.0833266237273933,P2UR/K-562,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-002077,-2.1127345723113056,Lu-165,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-002106,-1.653684262465149,ES5,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002110,-2.0138412876567373,EW-1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-002150,-1.7786824477219143,LB1047-RCC,Kidney,Renal Cell Carcinoma,Renal Cell Carcinoma,Non-immune
ACH-002183,-2.1501831551876345,OVMIU,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-002186,-2.048206757146806,PL4,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-002229,-1.3962975649179674,D-502MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-002239,-2.684806281167713,H3118,Head and Neck,Salivary Carcinoma,Mucoepidermoid Carcinoma,Non-immune
ACH-002399,-1.712863390481185,21NT,Breast,Invasive Breast Carcinoma,Breast Invasive Ductal Carcinoma,Non-immune
ACH-002538,-1.3526877537332105,SNU-1235,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-002650,-0.4457262708022811,ETCC-016,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-002690,-2.0595085087666103,OS526,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-002710,-2.910023198162074,MPNST-724,Peripheral Nervous System,Nerve Sheath Tumor,Malignant Peripheral Nerve Sheath Tumor,Non-immune
ACH-002711,-2.735280382418839,UM-HACC-2A,Head and Neck,Salivary Carcinoma,Adenoid Cystic Carcinoma,Non-immune
ACH-000017,0.4000701262553852,SK-BR-3,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-000040,-2.265943064514668,U-118 MG,CNS/Brain,Diffuse Glioma,Astrocytoma,Non-immune
ACH-000041,-1.5578995997547171,RD-ES,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000086,-2.544190965469402,ACC-MESO-1,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000090,-2.2087848477680523,PC-3,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Non-immune
ACH-000151,-2.423616909837917,JM1,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000206,-2.429215173253251,C8166,Lymphoid,Non-Cancerous,"Transformed cell line, B lymphoblast",Lymphoid
ACH-000207,-2.784743029925558,Detroit 562,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oropharynx Squamous Cell Carcinoma,Non-immune
ACH-000219,-3.025952118632701,A-375,Skin,Melanoma,Melanoma,Non-immune
ACH-000231,-1.9077295757618784,KALS-1,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000244,-3.208569333445623,DK-MG,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000246,-1.793805449269711,SLR 23,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000259,-2.8132904200245306,KELLY,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000279,-1.9763210569389928,EWS502,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-000295,-2.5490626075150065,EM-2,Myeloid,Myeloproliferative Neoplasms,"Chronic Myeloid Leukemia, BCR-ABL1+",Myeloid
ACH-000296,-1.2898680582804607,OUMS-23,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000316,-1.833630557228929,SNU-886,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000336,-2.0436389353137887,OCI-AML3,Myeloid,Acute Myeloid Leukemia,Acute Myeloid Leukemia,Myeloid
ACH-000367,-2.846856124608376,NCI-H226,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000368,-2.3182760214714744,SNU-1105,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000397,-2.5388537069910364,TEN,Uterus,Endometrial Carcinoma,Uterine Clear Cell Carcinoma,Non-immune
ACH-000420,-2.5438317340055616,SNU-449,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000431,-1.146442243325196,NCI-H1694,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000455,-2.6283675229053225,LN-428,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000515,-0.9416319376540327,HCC-33,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000518,-2.470935187648757,CAL-33,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000527,-2.390350704759153,OVISE,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000552,-0.1407278216243583,HT-29,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000559,-1.2193084900651698,NCI-H1836,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000567,-0.8617785715761648,ST486,Lymphoid,Mature B-Cell Neoplasms,Burkitt Lymphoma,Lymphoid
ACH-000623,-2.314198876612433,SNU-201,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000632,-2.811848910540303,Hs 944.T,Skin,Melanoma,Cutaneous Melanoma,Non-immune
ACH-000639,-1.9765701058517329,NCI-H211,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000661,-3.611424975591995,WM1799,Skin,Melanoma,Melanoma,Non-immune
ACH-000702,-2.8237292642989384,L-1236,Lymphoid,Hodgkin Lymphoma,Hodgkin Lymphoma,Lymphoid
ACH-000709,-2.2377138817191806,KMRC-2,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000732,-2.04690782912338,PE/CA-PJ41 (clone D2),Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000749,-1.4977298974069368,DMS 273,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000796,-1.9982799565221527,MCAS,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Mucinous Ovarian Cancer,Non-immune
ACH-000809,-2.3479130999556466,KYSE-410,Esophagus/Stomach,Esophageal Squamous Cell Carcinoma,Esophageal Squamous Cell Carcinoma,Non-immune
ACH-000819,-1.515078042745425,LN-18,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000832,-2.6290509784265783,CAL 27,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000867,0.2386587342027346,ChaGo-K-1,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000879,-1.914818684545072,MFE-296,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000889,-2.5851723632332706,KMM-1,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000948,-2.7164754631612684,23132/87,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000959,-1.3776712894644652,SNU-C4,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000972,-2.266978132722859,HEC-151,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000978,-1.995874746598184,EN,Uterus,Endometrial Carcinoma,Endometrial Carcinoma,Non-immune
ACH-000979,-1.5405808168743236,DU 145,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Non-immune
ACH-001001,-2.548828452843391,143B,Bone,Osteosarcoma,Osteosarcoma,Non-immune
ACH-001099,-3.000783228846174,KD,Soft Tissue,Rhabdoid Cancer,Extrarenal Rhabdoid Cancer,Non-immune
ACH-001129,-2.453956792521814,MONO-MAC-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,Myeloid
ACH-001192,-2.1988963016632743,SK-NEP-1,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001205,-2.5156660159766777,TC-32,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001229,-1.1396387283472098,UPCI-SCC-154,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001233,-1.954332621837416,VMRC-LCD,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-001302,-2.183762070120696,COG-N-305,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001328,-1.5622434267334693,A-431,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Non-immune
ACH-001331,-1.7862591856793788,BICR 10,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001332,-2.43098697882185,BICR 78,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-001341,-2.4762434040245247,DoTc2 4510,Cervix,Mixed Cervical Carcinoma,Mixed Cervical Carcinoma,Non-immune
ACH-001354,-2.1422841057478834,LAN-2,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001366,-2.347992541913394,NGP,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-001377,-1.9657358921232808,PACADD-137,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001391,-2.505582989114218,SUM-159PT,Breast,Invasive Breast Carcinoma,Invasive Breast Carcinoma,Non-immune
ACH-001399,-1.9720946245744289,SW 626,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001408,-1.6140676068272206,UM-UC-14,Bladder/Urinary Tract,Urethral Cancer,Urethral Urothelial Carcinoma,Non-immune
ACH-001411,-2.3948160853643734,UM-UC-5,Bladder/Urinary Tract,Bladder Squamous Cell Carcinoma,Bladder Squamous Cell Carcinoma,Non-immune
ACH-001430,-2.404606659457948,TC-138,Bone,Ewing Sarcoma,Ewing Sarcoma,Non-immune
ACH-001436,-2.849447512790828,1411H,Testis,Non-Seminomatous Germ Cell Tumor,Yolk Sac Tumor,Non-immune
ACH-001549,-2.494745842884195,Lu-135,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-001634,-1.5629106835379538,PGA-1,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lymphoid
ACH-001641,-2.5205955606888253,SAT,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Non-immune
ACH-001664,-2.7247063829045355,SNU-638,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-001750,-1.584437002737905,TTC442,Soft Tissue,Rhabdomyosarcoma,Embryonal Rhabdomyosarcoma,Non-immune
ACH-001791,-1.6569282495865356,LPS6,Soft Tissue,Liposarcoma,Liposarcoma,Non-immune
ACH-001839,-2.277062401621901,MGH-ICC13-7,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001852,-1.4608472627463476,HKGZ-CC,Biliary Tract,Intraductal Papillary Neoplasm of the Bile Duct,Intrahepatic Cholangiocarcinoma,Non-immune
ACH-001861,-2.7845072437987515,TGBC1TKB,Biliary Tract,Intracholecystic Papillary Neoplasm,Gallbladder Cancer,Non-immune
ACH-001990,-3.048078388966329,NZM7,Skin,Melanoma,Melanoma,Non-immune
