ModelID,ATP6V1B2,CellLineName,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,DependencyGroup
ACH-000142,-2.0342397447098834,CAL-29,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000155,-2.236816979246391,SW 1990,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-000163,-1.2420840858127715,SW579,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Non-immune
ACH-000168,-1.910276317602806,NOMO-1,Myeloid,Acute Myeloid Leukemia,Acute Monoblastic/Monocytic Leukemia,Myeloid
ACH-000181,-3.5845059679087066,SCC-9,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000221,-1.8793934572910331,SNU-398,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000227,-2.4978143229471064,KP-N-YN,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000250,-1.7839505516766263,KMRC-20,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000272,-2.8425260119250515,SLR 24,Kidney,Renal Cell Carcinoma,Renal Clear Cell Carcinoma,Non-immune
ACH-000310,-1.3579000307300315,IMR-32,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000345,-2.3570173792682523,KP-N-RT-BM-1,Peripheral Nervous System,Neuroblastoma,Neuroblastoma,Non-immune
ACH-000365,-3.013418156694738,SU-DHL-4,Lymphoid,Mature B-Cell Neoplasms,"Diffuse Large B-Cell Lymphoma, NOS",Lymphoid
ACH-000378,-2.59720834823737,NCI-H647,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Non-immune
ACH-000383,-3.3753333735713102,OE33,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Esophageal Adenocarcinoma,Non-immune
ACH-000387,-3.126008625022296,TF-1,Myeloid,Acute Myeloid Leukemia,"AML, NOS",Myeloid
ACH-000395,-1.6155501924928848,NCI-H520,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000422,-2.3610562370287336,SNU-475,Liver,Hepatocellular Carcinoma,Hepatocellular Carcinoma,Non-immune
ACH-000458,-2.0091736506227824,CJM,Skin,Melanoma,Melanoma,Non-immune
ACH-000460,-2.378107561495776,SNU-8,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-000466,-2.624813839892532,SNU-216,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Tubular Stomach Adenocarcinoma,Non-immune
ACH-000501,-2.1124303887436886,LS123,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-000512,-2.7692586629648224,INA6,Lymphoid,Mature B-Cell Neoplasms,Plasma Cell Myeloma,Lymphoid
ACH-000520,-2.2456584513740463,59M,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000571,-2.614006885324849,T98G,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000583,-2.1543340831666478,MC116,Lymphoid,Non-Hodgkin Lymphoma,Mature B-Cell Neoplasms,Lymphoid
ACH-000595,-2.437058615067925,LN-229,CNS/Brain,Diffuse Glioma,Glioblastoma,Non-immune
ACH-000607,-2.2189491752623822,KYM-1,Kidney,Rhabdoid Cancer,Rhabdoid Cancer,Non-immune
ACH-000648,-2.793158470271372,NCI-H28,Pleura,Pleural Mesothelioma,"Pleural Mesothelioma, Epithelioid Type",Non-immune
ACH-000664,-2.9308873083865103,SU-DHL-1,Lymphoid,Mature T and NK Neoplasms,Anaplastic Large-Cell Lymphoma ALK Positive,Lymphoid
ACH-000713,-2.433982172007651,Caov-3,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,High-Grade Serous Ovarian Cancer,Non-immune
ACH-000724,-2.0157535706433314,HT-1376,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-000757,-2.756735326528268,A427,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000762,-2.052506995295881,YD-38,Head and Neck,Head and Neck Squamous Cell Carcinoma,Head and Neck Squamous Cell Carcinoma,Non-immune
ACH-000767,-1.7103009693554996,NCI-H526,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,Non-immune
ACH-000774,-2.7204879818938728,RERF-LC-Ad2,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000778,-2.4857625564230688,HSC-3,Head and Neck,Head and Neck Squamous Cell Carcinoma,Oral Cavity Squamous Cell Carcinoma,Non-immune
ACH-000782,-2.205098015354747,SEM,Lymphoid,B-Cell Acute Lymphoblastic Leukemia,B-Cell Acute Lymphoblastic Leukemia,Lymphoid
ACH-000799,-2.348839243306248,Hs 695T,Skin,Melanoma,Melanoma,Non-immune
ACH-000840,-2.310262561426108,HCC-366,Lung,Non-Small Cell Lung Cancer,Lung Adenosquamous Carcinoma,Non-immune
ACH-000841,-3.4868720507985507,NCI-H2087,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000847,-2.2331897281259483,HGC-27,Esophagus/Stomach,Esophagogastric Adenocarcinoma,Stomach Adenocarcinoma,Non-immune
ACH-000885,-1.8784644252094589,TOV-21G,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Clear Cell Ovarian Cancer,Non-immune
ACH-000886,-2.249168509944741,NCI-H2009,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000921,-1.3269256690320967,NCI-H157-DM,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000929,-1.9864146700421792,NCI-H2110,Lung,Non-Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Non-immune
ACH-000945,-3.0637887894682865,NCI-H650,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,Non-immune
ACH-000956,-2.5667606517325128,22Rv1,Prostate,Prostate Adenocarcinoma,Prostate Adenocarcinoma,Non-immune
ACH-000975,-3.055306699072846,HCC2450,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,Non-immune
ACH-000986,-1.6178021209098552,HT115,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001036,-2.5990622058328023,CMK-11-5,Myeloid,Acute Myeloid Leukemia,Myeloid Leukemia Associated with Down Syndrome,Myeloid
ACH-001061,-1.8184067795770944,DLD-1,Bowel,Colorectal Adenocarcinoma,Colon Adenocarcinoma,Non-immune
ACH-001098,-1.8036947107623784,KCI-MOH1,Pancreas,Pancreatic Adenocarcinoma,Pancreatic Adenocarcinoma,Non-immune
ACH-001183,-2.425822404331029,RT112/84,Bladder/Urinary Tract,Bladder Urothelial Carcinoma,Bladder Urothelial Carcinoma,Non-immune
ACH-001295,-1.9492535329004723,Y-79,Eye,Retinoblastoma,Retinoblastoma,Non-immune
ACH-001334,-2.936301379622149,C-4 I,Cervix,Cervical Squamous Cell Carcinoma,Cervical Squamous Cell Carcinoma,Non-immune
ACH-001370,-2.030784954910446,OCI-P5x,Ovary/Fallopian Tube,Ovarian Epithelial Tumor,Serous Ovarian Cancer,Non-immune
ACH-001442,-2.439575764413325,A388,Skin,Cutaneous Squamous Cell Carcinoma,Cutaneous Squamous Cell Carcinoma,Non-immune
ACH-001443,-0.9811633906581734,ASH-3,Thyroid,Anaplastic Thyroid Cancer,Anaplastic Thyroid Cancer,Non-immune
ACH-001484,-1.0039585205860997,CI,Lymphoid,Mature B-Cell Neoplasms,Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,Lymphoid
