tail_label,quantile,cutoff,group,in_tail,group_total,tail_fraction,background_fraction,odds_ratio,pvalue
Top 5% tail,0.05,-3.0304751753747503,Myeloid,6,43,0.13953488372093023,0.047244094488188976,3.27027027027027,0.01830601784398271
Top 5% tail,0.05,-3.0304751753747503,AML/MPN-like,5,40,0.125,0.04799301919720768,2.8337662337662337,0.0470333566197807
Top 5% tail,0.05,-3.0304751753747503,Lymphoid,3,93,0.03225806451612903,0.05215004574565416,0.6058479532163743,0.8658055588184252
Top 15% tail,0.15,-2.7812222299121454,Myeloid,11,43,0.2558139534883721,0.14610673665791776,2.0089820359281436,0.04582711210938712
Top 15% tail,0.15,-2.7812222299121454,AML/MPN-like,10,40,0.25,0.14659685863874344,1.9404761904761905,0.06408586211688208
Top 15% tail,0.15,-2.7812222299121454,Lymphoid,10,93,0.10752688172043011,0.1537053979871912,0.6633677567412507,0.9160133309919655
