comparison,n_left,n_right,mean_left,mean_right,median_left,median_right,mannwhitney_u,pvalue
Myeloid_vs_rest,43,1143,-2.375369998979494,-2.168195586405128,-2.396677534225488,-2.2785642582105976,20851.0,0.0913153696463338
AML_MPN_like_vs_rest,40,1146,-2.3796813290217544,-2.1685874450753135,-2.4014741172226906,-2.277813329916249,19260.0,0.08569451225243367
Lymphoid_vs_rest,93,1093,-2.297363359783653,-2.165355601790759,-2.3910230528078813,-2.2724525360469414,45299.0,0.0814397890499071
